,Major,Degree_type,Early Career Pay,Mid Career Pay,% High Meaning,Field Type
261,Latin American Studies,Bachelors,46700.0,96100.0,0.62,OTHER FIELDS
262,Industrial Design (ID),Bachelors,55100.0,95900.0,0.41,OTHER FIELDS
263,Web Design & Development,Bachelors,53100.0,95900.0,0.44,OTHER FIELDS
264,Computing & Information Systems (CIS),Bachelors,58100.0,95800.0,0.4,OTHER FIELDS
265,Electromechanical Engineering,Bachelors,70500.0,95800.0,0.55,STEM
266,Industrial Technology (IT),Bachelors,62200.0,95800.0,0.5,OTHER FIELDS
267,Information Technology (IT) & Systems,Bachelors,61100.0,95800.0,0.47,OTHER FIELDS
268,Biopsychology,Bachelors,53300.0,95700.0,0.74,OTHER FIELDS
269,Government & Politics,Bachelors,52400.0,95700.0,0.51,OTHER FIELDS
270,Microbiology & Immunology,Bachelors,54900.0,95400.0,0.68,OTHER FIELDS
271,Chemistry & Environmental Science,Bachelors,48200.0,95400.0,0.0,OTHER FIELDS
272,Interactive Media Design,Bachelors,54000.0,95300.0,0.38,OTHER FIELDS
273,Risk Management,Bachelors,58500.0,95300.0,0.42,OTHER FIELDS
274,Cell Biology,Bachelors,50100.0,95200.0,0.59,OTHER FIELDS
275,Aeronautics,Bachelors,62800.0,95100.0,0.64,OTHER FIELDS
276,Welding Engineering Technology,Bachelors,74700.0,95000.0,0.42,STEM
277,Finance & Management Information Systems,Bachelors,63900.0,94800.0,0.0,OTHER FIELDS
278,Computer Science (CS) & Business,Bachelors,81100.0,94600.0,0.28,STEM
279,Environmental Science & Policy,Bachelors,49500.0,94500.0,0.59,OTHER FIELDS
280,Marketing & Communications,Bachelors,49600.0,94500.0,0.45,OTHER FIELDS
281,Safety Management,Bachelors,60100.0,94500.0,0.7,OTHER FIELDS
282,Business Technology Management,Bachelors,57400.0,94400.0,0.42,BUSINESS
283,Computer Networking Systems,Bachelors,55600.0,94400.0,0.49,OTHER FIELDS
284,Biomedical Sciences,Bachelors,43600.0,94300.0,0.7,OTHER FIELDS
285,Philosophy,Bachelors,52600.0,94300.0,0.41,OTHER FIELDS
286,Sales & Marketing,Bachelors,52700.0,94300.0,0.48,OTHER FIELDS
287,Manufacturing Engineering Technology,Bachelors,66000.0,94300.0,0.49,STEM
288,Environmental Health & Safety,Bachelors,57600.0,94200.0,0.68,OTHER FIELDS
289,Organizational Psychology,Bachelors,51200.0,94100.0,0.5,OTHER FIELDS
290,Industrial Psychology,Bachelors,50000.0,94000.0,0.5,OTHER FIELDS
